0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:54:22 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:02:48 +0530] "GET /Hello/index.html HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:02:48 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:02:49 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:02:50 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:03:12 +0530] "GET /Hello/index.html HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:04:48 +0530] "GET /Hello/index.html HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:04:48 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:06:31 +0530] "GET /Hello/index.html HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:06:31 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:06:33 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:06:33 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:06:45 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:07:04 +0530] "GET /Hello/index.html HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:07:05 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:07:05 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:07:48 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:08:00 +0530] "GET /Hello/index.html HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:09:21 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:09:21 +0530] "GET /Hello/idexcss.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:10:21 +0530] "GET /Hello/index.html HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:10:21 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:11:25 +0530] "GET /Hello/index.html HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:11:25 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:11:26 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:11:57 +0530] "GET /Hello/index.html HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:11:57 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:12:12 +0530] "GET /Hello/index.html HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:12:26 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:12:27 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:12:50 +0530] "GET /Hello/index.html HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:12:50 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:16:09 +0530] "GET /Hello/index.html HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:16:09 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:34 +0530] "GET /Hello/index.html HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:34 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:35 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:36 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:36 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:36 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:36 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:51 +0530] "GET /Hello/index.html HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [03/Aug/2022:14:17:52 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
